Date,Open,High,Low,Close ,Adj Close ,Volume
13-Dec-24,3.29,3.62,3.26,3.53,3.53,"65,457,800"
12-Dec-24,3.4,3.45,3.33,3.38,3.38,"39,795,900"
11-Dec-24,3.38,3.5,3.24,3.28,3.28,"62,519,900"
10-Dec-24,3.32,3.564,3.18,3.5,3.5,"57,788,000"
9-Dec-24,3.31,3.4,3.27,3.33,3.33,"45,752,200"
6-Dec-24,3.065,3.21,3.02,3.165,3.165,"39,962,200"
5-Dec-24,3.05,3.1,2.99,3.05,3.05,"45,854,700"
4-Dec-24,3.19,3.28,3.02,3.06,3.06,"52,625,200"
3-Dec-24,3.37,3.38,3.26,3.275,3.275,"36,882,000"
2-Dec-24,3.35,3.39,3.26,3.355,3.355,"39,320,800"
29-Nov-24,3.44,3.482,3.31,3.365,3.365,"21,203,000"
27-Nov-24,3.535,3.69,3.52,3.52,3.52,"35,882,200"
26-Nov-24,3.4,3.5,3.32,3.44,3.44,"34,899,600"
25-Nov-24,3.215,3.49,3.215,3.485,3.485,"50,346,000"
22-Nov-24,3.05,3.25,3,3.215,3.215,"56,768,000"
21-Nov-24,2.91,3.27,2.76,3.02,3.02,"77,934,500"
20-Nov-24,3,3.18,2.992,3.06,3.06,"48,948,800"
19-Nov-24,3.28,3.29,3,3.015,3.015,"42,710,700"
18-Nov-24,3.36,3.47,3.27,3.335,3.335,"45,366,400"
15-Nov-24,3.12,3.33,3.115,3.245,3.245,"34,972,000"
14-Nov-24,3.015,3.1,2.95,3.045,3.045,"36,528,700"
13-Nov-24,2.96,3.087,2.945,3.065,3.065,"36,499,900"
12-Nov-24,3.05,3.085,2.93,2.985,2.985,"43,948,700"
11-Nov-24,2.98,3.19,2.97,3.115,3.115,"27,472,400"
8-Nov-24,2.98,3.08,2.93,3.025,3.025,"25,967,400"
7-Nov-24,3.08,3.085,2.97,2.975,2.975,"24,448,700"
6-Nov-24,3.23,3.28,3.06,3.12,3.12,"33,427,700"
5-Nov-24,3.51,3.52,3.36,3.385,3.385,"23,600,900"
4-Nov-24,3.525,3.61,3.43,3.58,3.58,"36,497,400"
1-Nov-24,3.66,3.665,3.51,3.62,3.62,"35,608,000"
31-Oct-24,3.53,3.8,3.53,3.775,3.775,"31,428,700"
30-Oct-24,3.43,3.56,3.39,3.445,3.445,"28,388,500"
29-Oct-24,3.4,3.466,3.3,3.345,3.345,"18,034,200"
28-Oct-24,3.27,3.408,3.265,3.39,3.39,"17,747,200"
25-Oct-24,3.365,3.37,3.21,3.33,3.33,"37,453,300"
24-Oct-24,3.37,3.49,3.34,3.395,3.395,"27,921,900"
23-Oct-24,3.31,3.525,3.305,3.43,3.43,"36,970,400"
22-Oct-24,3.28,3.33,3.21,3.25,3.25,"33,964,400"
21-Oct-24,3.53,3.53,3.24,3.245,3.245,"44,907,500"
18-Oct-24,3.495,3.57,3.49,3.535,3.535,"21,464,700"
17-Oct-24,3.46,3.59,3.38,3.585,3.585,"37,134,000"
16-Oct-24,3.755,3.895,3.6,3.655,3.655,"33,277,400"
15-Oct-24,3.575,4.04,3.538,3.9,3.9,"43,506,100"
14-Oct-24,3.655,3.66,3.47,3.56,3.56,"25,871,700"
11-Oct-24,3.78,3.8,3.684,3.745,3.745,"15,443,700"
10-Oct-24,3.9,3.94,3.73,3.745,3.745,"27,325,900"
9-Oct-24,3.78,3.94,3.76,3.86,3.86,"24,455,600"
8-Oct-24,4.02,4.075,3.81,3.855,3.855,"23,540,300"
7-Oct-24,4.38,4.39,3.984,4.185,4.185,"27,420,800"
4-Oct-24,4.38,4.61,4.375,4.39,4.39,"17,266,700"
3-Oct-24,4.7,4.73,4.415,4.53,4.53,"20,573,500"
2-Oct-24,5.07,5.18,4.81,4.87,4.87,"16,653,300"
1-Oct-24,4.65,5.1,4.59,5.02,5.02,"20,471,000"
30-Sep-24,4.83,4.92,4.66,4.67,4.67,"18,303,000"
27-Sep-24,4.48,4.82,4.48,4.675,4.675,"18,400,000"
26-Sep-24,4.28,4.645,4.21,4.49,4.49,"25,109,700"
25-Sep-24,4.64,4.66,4.4,4.52,4.52,"23,004,700"
24-Sep-24,5.12,5.21,4.64,4.72,4.72,"26,276,800"
23-Sep-24,5.105,5.25,5.065,5.12,5.12,"14,680,900"
