Date,Open,High,Low,Close ,Adj Close ,Volume
13-Dec-24,138.94,139.6,132.54,134.25,134.25,"230,976,400"
12-Dec-24,137.08,138.44,135.8,137.34,137.34,"159,211,400"
11-Dec-24,137.36,140.17,135.21,139.31,139.31,"184,905,200"
10-Dec-24,139.01,141.82,133.79,135.07,135.07,"210,020,900"
9-Dec-24,138.97,139.95,137.13,138.81,138.81,"189,308,600"
6-Dec-24,144.6,145.7,141.31,142.44,142.44,"188,505,600"
5-Dec-24,0.01 Dividend,,,,,
5-Dec-24,145.11,146.54,143.95,145.06,145.06,"172,621,200"
4-Dec-24,142,145.79,140.29,145.14,145.13,"231,224,300"
3-Dec-24,138.26,140.54,137.95,140.26,140.25,"164,414,000"
2-Dec-24,138.83,140.45,137.82,138.63,138.62,"171,682,800"
29-Nov-24,136.78,139.35,136.05,138.25,138.24,"141,863,200"
27-Nov-24,135.01,137.22,131.8,135.34,135.33,"226,370,900"
26-Nov-24,137.7,139.3,135.67,136.92,136.91,"190,287,700"
25-Nov-24,141.99,142.05,135.82,136.02,136.02,"344,941,900"
22-Nov-24,145.93,147.16,141.1,141.95,141.95,"236,406,200"
21-Nov-24,149.35,152.89,140.7,146.67,146.67,"400,946,600"
20-Nov-24,147.41,147.56,142.73,145.89,145.89,"309,871,700"
19-Nov-24,141.32,147.13,140.99,147.01,147.01,"227,834,900"
18-Nov-24,139.5,141.55,137.15,140.15,140.15,"221,866,000"
15-Nov-24,144.87,145.24,140.08,141.98,141.98,"250,132,900"
14-Nov-24,147.64,149,145.55,146.76,146.76,"194,463,300"
13-Nov-24,149.07,149.33,145.9,146.27,146.27,"191,903,300"
12-Nov-24,146.78,149.65,146.01,148.29,148.29,"198,634,700"
11-Nov-24,148.68,148.85,143.57,145.26,145.26,"182,325,600"
8-Nov-24,148.77,149.77,146.26,147.63,147.63,"175,665,800"
7-Nov-24,146.39,148.93,146.17,148.88,148.88,"207,323,300"
6-Nov-24,142.96,146.49,141.96,145.61,145.61,"242,043,900"
5-Nov-24,137.45,140.37,137.33,139.91,139.91,"160,537,400"
4-Nov-24,137.21,138.96,135.57,136.05,136.05,"187,528,200"
1-Nov-24,134.7,137.31,134.57,135.4,135.4,"207,127,800"
31-Oct-24,137.6,137.61,132.11,132.76,132.76,"270,039,600"
30-Oct-24,139.54,140.33,136.81,139.34,139.34,"179,418,100"
29-Oct-24,140.29,142.26,138.9,141.25,141.25,"157,593,600"
28-Oct-24,143,143.14,140.05,140.52,140.52,"173,586,700"
25-Oct-24,140.93,144.13,140.8,141.54,141.54,"205,122,100"
24-Oct-24,140.82,141.35,138.46,140.41,140.41,"172,354,900"
23-Oct-24,142.03,142.43,137.46,139.56,139.56,"285,930,000"
22-Oct-24,142.91,144.42,141.78,143.59,143.59,"226,311,600"
21-Oct-24,138.13,143.71,138,143.71,143.71,"264,554,500"
18-Oct-24,138.67,138.9,137.28,138,138,"176,090,200"
17-Oct-24,139.34,140.89,136.87,136.93,136.93,"306,435,900"
16-Oct-24,133.98,136.62,131.58,135.72,135.72,"264,879,700"
15-Oct-24,137.87,138.57,128.74,131.6,131.6,"377,831,000"
14-Oct-24,136.47,139.6,136.3,138.07,138.07,"232,347,700"
11-Oct-24,134.01,135.78,133.66,134.8,134.8,"170,209,500"
10-Oct-24,131.91,135,131,134.81,134.81,"242,311,300"
9-Oct-24,134.11,134.52,131.38,132.65,132.65,"246,191,600"
8-Oct-24,130.26,133.48,129.42,132.89,132.89,"285,722,500"
7-Oct-24,124.99,130.64,124.95,127.72,127.72,"346,250,200"
4-Oct-24,124.94,125.04,121.83,124.92,124.92,"243,678,100"
3-Oct-24,120.92,124.36,120.34,122.85,122.85,"277,118,000"
2-Oct-24,116.44,119.38,115.14,118.85,118.85,"221,845,900"
1-Oct-24,121.77,122.44,115.79,117,117,"302,094,500"
30-Sep-24,118.31,121.5,118.15,121.44,121.44,"226,553,700"
27-Sep-24,123.97,124.03,119.26,121.4,121.4,"271,009,200"
26-Sep-24,126.8,127.67,121.8,124.04,124.04,"302,582,900"
25-Sep-24,122.02,124.94,121.61,123.51,123.51,"284,692,900"
24-Sep-24,116.52,121.8,115.38,120.87,120.87,"354,966,800"
23-Sep-24,116.55,116.99,114.86,116.26,116.26,"206,228,500"
20-Sep-24,117.06,118.62,115.39,116,116,"382,462,400"
19-Sep-24,117.35,119.66,117.25,117.87,117.87,"293,506,400"
18-Sep-24,115.89,117.7,113.22,113.37,113.37,"310,318,900"
17-Sep-24,118.17,118.8,114.83,115.59,115.59,"231,925,900"
16-Sep-24,116.79,118.18,114.36,116.78,116.78,"248,772,300"
13-Sep-24,119.08,119.96,117.6,119.1,119.1,"238,358,300"
12-Sep-24,0.01 Dividend,,,,,
12-Sep-24,116.84,120.79,115.38,119.14,119.14,"367,100,500"
11-Sep-24,109.39,117.19,107.42,116.91,116.9,"441,422,400"
10-Sep-24,107.81,109.4,104.95,108.1,108.09,"268,283,700"
9-Sep-24,104.88,106.55,103.69,106.47,106.46,"273,912,000"
6-Sep-24,108.04,108.15,100.95,102.83,102.82,"413,638,100"
5-Sep-24,104.99,109.65,104.76,107.21,107.2,"306,850,700"
4-Sep-24,105.41,113.27,104.12,106.21,106.2,"372,470,300"
3-Sep-24,116.01,116.21,107.29,108,107.99,"477,155,100"
30-Aug-24,119.53,121.75,117.22,119.37,119.36,"333,751,600"
29-Aug-24,121.36,124.43,116.71,117.59,117.58,"453,023,300"
28-Aug-24,128.12,128.33,122.64,125.61,125.6,"448,101,100"
27-Aug-24,125.05,129.2,123.88,128.3,128.29,"303,134,600"
26-Aug-24,129.57,131.26,124.37,126.46,126.45,"331,964,700"
23-Aug-24,125.86,129.6,125.22,129.37,129.36,"323,230,300"
22-Aug-24,130.02,130.75,123.1,123.74,123.73,"376,189,100"
21-Aug-24,127.32,129.35,126.66,128.5,128.49,"257,883,600"
20-Aug-24,128.4,129.88,125.89,127.25,127.24,"300,087,400"
19-Aug-24,124.28,130,123.42,130,129.99,"318,333,600"
16-Aug-24,121.94,125,121.18,124.58,124.57,"302,589,900"
15-Aug-24,118.76,123.24,117.47,122.86,122.85,"318,086,700"
14-Aug-24,118.53,118.6,114.07,118.08,118.07,"339,246,400"
13-Aug-24,112.44,116.23,111.58,116.14,116.13,"312,646,700"
12-Aug-24,106.32,111.07,106.26,109.02,109.01,"325,559,900"
9-Aug-24,105.64,106.6,103.43,104.75,104.74,"290,844,200"
8-Aug-24,102,105.5,97.52,104.97,104.96,"391,910,000"
7-Aug-24,107.81,108.8,98.69,98.91,98.9,"411,440,400"
6-Aug-24,103.84,107.71,100.55,104.25,104.24,"409,012,100"
5-Aug-24,92.06,103.41,90.69,100.45,100.44,"552,842,400"
2-Aug-24,103.76,108.72,101.37,107.27,107.26,"482,027,500"
1-Aug-24,117.53,120.16,106.81,109.21,109.2,"523,462,300"
31-Jul-24,112.9,118.34,110.88,117.02,117.01,"473,174,200"
30-Jul-24,111.52,111.99,102.54,103.73,103.72,"486,833,300"
29-Jul-24,113.69,116.28,111.3,111.59,111.58,"248,152,100"
26-Jul-24,116.19,116.2,111.58,113.06,113.05,"293,399,100"
25-Jul-24,113.04,116.63,106.3,112.28,112.27,"460,067,000"
24-Jul-24,119.17,119.95,113.44,114.25,114.24,"327,776,900"
23-Jul-24,122.78,124.69,122.1,122.59,122.58,"173,911,000"
22-Jul-24,120.35,124.07,119.86,123.54,123.53,"258,068,900"
19-Jul-24,120.35,121.6,117.37,117.93,117.92,"217,223,800"
18-Jul-24,121.85,122.4,116.56,121.09,121.08,"320,979,500"
17-Jul-24,121.35,121.85,116.72,117.99,117.98,"390,086,200"
16-Jul-24,128.44,129.04,124.58,126.36,126.35,"214,769,500"
15-Jul-24,130.56,131.39,127.18,128.44,128.43,"208,326,200"
12-Jul-24,128.26,131.92,127.22,129.24,129.23,"252,680,500"
11-Jul-24,135.75,136.15,127.05,127.4,127.39,"374,782,700"
10-Jul-24,134.03,135.1,132.42,134.91,134.9,"248,978,600"
